Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image
,"Giudecca, La Donna della Salute and San Giorgio",04.06.2006,"35,856,000",61 x 91.5 cm,"Important Old Master Paintings, Part I",,"Elhanan Bicknell, by whom purchased at the Royal Academy Exhibition in 1841 for 250 guineas; Christie's, London, 25 April 1863, lot 116 (1,650 guineas to Agnew's on behalf of Sir John Pender).
Sir John Pender; Christie's, London, 29 May 1897, lot 85 (6,800 guineas to Agnew's on behalf of Sir Donald Currie).
Sir Donald Currie and by descent to his grandson Major G.L.K. Wiseley, by whom sold through Agnew's to William Wood Prince, 1959.
with Agnew's by whom sold to a private collector, by whom donated to the present owner.
",-,-,oil on canvas ,-,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01620_0097_000().jpg
Claude Monet,"Waterloo Bridge, temps couvertREPEAT SALE",06.18.2007,"35,462,000",65 x 99.4 cm,Impressionist and Modern Art  (Evening Sale),"GBP 6,000,000 - GBP 8,000,000","Galerie Durand-Ruel, Paris, by whom acquired from the artist in 1905.
Michael Riabouchinsky, by whom acquired from the above in 1909.
Wildenstein & Cie., Paris.
Sir Alexander Korda, London.
Dr. Henry Lax, a gift from the above in 1952; sale, Sotheby's, New York, 13 November 1990, lot 34.
Private collection, Japan. 
","
signed and dated 'Claude Monet 1904' (lower right) 
","
Private collection, Japan. 
",oil on canvas ,1904,https://www.christies.com/img/LotImages/2007/CKS/2007_CKS_07404_0014_000().jpg
John Constable,The LockREPEAT SALE,07.03.2012,"35,183,392",142.2 x 120.7 cm,Old Master & British Paintings Evening Sale,"GBP 20,000,000 - GBP 25,000,000","James Morrison (1789-1857) of Balham Hill, London, and Basildon Park, Berkshire, by whom acquired for 150 guineas on the opening day of the 1824 Royal Academy exhibition, and by descent to his grandson,
Colonel James Archibald Morrison (1873-1934), at Basildon Park, until this was sold in 1929, and subsequently by inheritance through his daughter Mary, wife of Major John Dent-Brocklehurst of Sudeley Castle, Gloucestershire;
The Trustees of the Walter Morrison Picture Settlement; Sotheby's, London, 14 November 1990, lot 128 (sold £10,780,000).
Baroness Carmen Thyssen-Bornemisza Collection, on loan to the Museo Thyssen-Bornemisza, Madrid, 1992-2012. 
",-,"
Baroness Carmen Thyssen-Bornemisza Collection, on loan to the Museo Thyssen-Bornemisza, Madrid, 1992-2012. 
",oil on canvas ,-,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05602_0037_000(john_constable_ra_the_lock).jpg
Jeff Koons,Jim Beam - J.B. Turner Train,05.13.2014,"33,765,000",289.6 x 16.5 cm,Post-War and Contemporary Evening Sale,,"Anthony d'Offay Gallery, London
Acquired from the above by the present owner
",-,-,stainless steel and bourbon ,1986,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0028_000(jeff_koons_jim_beam_-_jb_turner_train).jpg
Mark Rothko,Untitled no. 17,05.11.2011,"33,682,500",236.2 x 193 cm,Post-War and Contemporary Art Evening Sale,"USD 18,000,000 - USD 22,000,000","Acquired directly from the artist by the present owner 
","
signed, titled and dated '1961 #17 M. Rothko' (on the stretcher) 
",-,oil on canvas ,1961,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02440_0008_000(mark_rothko_untitled_no_17).jpg
Jeff Koons,Tulips,11.14.2012,"33,682,500",457.2 x 520.7 cm,Post-War & Contemporary Art Evening Sale,,"Sonnabend Gallery, New York
Acquired from the above by the present owner, 2002 
",-,-,mirror-polished stainless steel with transparent color coating ,1995,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0038_000(jeff_koons_tulips).jpg
Henri Matisse,"L′Odalisque, harmonie bleue",11.06.2007,"33,641,000",60.3 x 49.5 cm,Impressionist and Modern Art Evening Sale,"USD 15,000,000 - USD 20,000,000","Paul Rosenberg, New York (acquired from the artist).
Private collection.
","
signed and dated 'Henri Matisse 37' (lower right) 
","
Private collection.
",oil on canvas ,1937,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0024_000().jpg
Francis Bacon,Study for Self-Portrait,06.27.2012,"33,619,208",152.4 x 140cm,Post-War and Contemporary Art Evening Auction,,"Marlborough Fine Art, Ltd., London.
Peter Stuyvesant Foundation, Amsterdam (acquired from the above in July 1965).
Waddington Galleries, Ltd., London, 1976.
Private Collection.
The Pace Gallery, New York.
Mark Goodson, New York (acquired from the above in May 1981).
Richard Nagy, Ltd., London.
Acquired from the above by the present owner.
","
Study for Self-Portrait 
titled and dated 'SELF PORTRAIT NO 1 1964' (on the reverse) 
","
Private Collection.
",oil on canvas ,1964,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05488_0025_000(francis_bacon_study_for_self-portrait).jpg
Rembrandt Harmensz van Rijn,Portrait of a man with arms akimbo,12.08.2009,"33,274,996",107.4 x 87 cm,"Old Master & 19th Century Paintings, Drawings & Watercolours Evening Sale","GBP 18,000,000 - GBP 25,000,000","George Folliott (1801-1851), Vicars Cross, Chester, by 1847, and by descent to his grandson James Folliott Folinsby Walker; sale, [The Property of the Late George Folliott], Sotheby's, London, 14 May 1930, lot 51 'So far as can be traced this is an entirely unrecorded portrait by Rembrandt, painted according to the date inscribed on it during the very late period of his career so valued by collectors', (£18,500 to Asscher and Welker).
with Asscher and Welker, London, 1930.
with Howard Young Galleries, New York, 1931. 
George Huntington Hartford II (1911-2008), by 1939, by whom presented in 1958 to
Columbia University, New York.
Sold in 1974 by Columbia University to 
Harold Diamond, Inc., New York, from whom acquired by the present owner in the same year. 
","
signed and dated 'Rembrandt  1658' (lower left) 
",-,oil on canvas ,-,https://www.christies.com/img/LotImages/2009/CKS/2009_CKS_07782_0012_000().jpg
Gustav Klimt,Apple Tree I,11.08.2006,"33,056,000",109 x 110 cm,Impressionist and Modern Art Evening Sale,"USD 15,000,000 - USD 25,000,000","Adele and Ferdinand Bloch-Bauer, Vienna (acquired from the artist).
Seized by the Viennese Magistrate, May 1938 (following the Nazi Anschluss of March 1938).
With Dr. Erich Führer, Vienna (the state-appointed administrator for Ferdinand Bloch-Bauer).
Österreichische Galerie, Vienna (acquired from the above, October 1941).
Restituted to the heirs of Adele  and Ferdinand Bloch-Bauer by the Republic of Austria, March 2006.
","
signed 'Gustav Klimt' (lower right) 
",-,oil on canvas ,1912,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0053_000().jpg
Alberto Giacometti,Diego en chemise écossaise,11.05.2013,"32,645,000",81.1 x 64.9 cm,Impressionist & Modern Evening Sale,"USD 30,000,000 - USD 50,000,000","M. and Mme Aimé Maeght, Paris (acquired from the artist, by 1955).
M. and Mme Adrien Maeght, Paris (by descent from the above).
Acquired from the above by the present owner, 1992.
","
signed and dated 'Alberto Giacometti 1954' (lower right) 
",-,oil on canvas ,1954,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02788_0009_000(alberto_giacometti_diego_en_chemise_ecossaise).jpg
Jackson Pollock,Number 16,11.12.2013,"32,645,000",78.1 x 56.5 cm,Post-War and Contemporary Evening Sale,"USD 25,000,000 - USD 35,000,000","Peggy Guggenheim, Venice (acquired in December 1949 in exchange for
Shooting Star)
Betty Parsons Gallery, New York
Dwight Ripley, Marion
G. David Thompson, Pittsburgh
His sale; Parke-Bernet Galleries, Inc., New York, 23-24 March 1966, lot 83
Acquavella Galleries, New York
Mr. and Mrs. Edwin Singer, Corpus Christi
Acquavella Galleries, New York
Private collection, New York
Private collection, Philadelphia
Acquired from the above by the present owner
","
signed and dated 'Jackson Pollock 49' (lower edge)
","
Private collection, New York
",oil and enamel on paper mounted on masonite,1949,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0039_000(jackson_pollock_number_16_1949).jpg
Andy Warhol,Double MarlonREPEAT SALE,05.13.2008,"32,521,000",213.4 x 243.2 cm,Post War And Contemporary Art Evening Sale,,"Mayor Gallery, London
Paul Kantor, Los Angeles
Anon. sale; Sotheby's, New York, 9 November 1983, lot 77
Saatchi Collection, London
Anon. sale; Sotheby's, New York, 17 November 1992, lot 59 
","
signed and dated twice 'Andy Warhol 1966' (on the overlap) 
","
Saatchi Collection, London
",silkscreen ink on unprimed linen ,1966,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01997_0012_000().jpg
Willem de Kooning,Untitled VIII,11.12.2013,"32,085,000",177.8 x 203.2 cm,Post-War and Contemporary Evening Sale,"USD 20,000,000 - USD 30,000,000","The Willem de Kooning Estate, New York
Acquired from the above by the present owner, 1997
","
signed 'de Kooning' (on the reverse)
",-,oil on canvas,1977,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0037_000(willem_de_kooning_untitled_viii).jpg
Pablo Picasso,Les femmes d′Alger,11.10.1997,"31,902,500",114 x 146.4cm,The Collection of Victor and Sally Ganz,"USD 10,000,000 - USD 12,000,000","Galerie Louise Leiris, Paris
The entire series was acquired from the above by the late owners on June 6, 1956 for $212,500. 
","
signed 'Picasso' upper right--dated '14.2.55' on the reverse 
",-,oil on canvas ,1955,-
Roy Lichtenstein,Seductive Girl,11.12.2013,"31,525,000",127 x 182.8 cm,Post-War and Contemporary Evening Sale,"USD 22,000,000 - USD 28,000,000","Private collection, New York
Acquired from the above by the present owner
","
signed and dated 'rf Lichtenstein '96' (on the reverse)
","Private collection, New York
",oil and Magna on canvas,1996,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0034_000(roy_lichtenstein_seductive_girl).jpg
Gustav Klimt,Houses at Unterach on the Attersee,11.08.2006,"31,376,000",110 x 110 cm,Impressionist and Modern Art Evening Sale,"USD 18,000,000 - USD 25,000,000","Adele and Ferdinand Bloch-Bauer, Vienna (acquired from the artist).
Seized by the Viennese Magistrate, May 1938 (following the Nazi Anschluss of March 1938).
With Dr. Erich Führer, Vienna (the state-appointed administrator for Ferdinand Bloch-Bauer).
Dr. Gustav Rinesch, Vienna (recovered from the above on behalf of the heirs of Ferdinand Bloch-Bauer, after 1945).
Österreichische Galerie, Vienna (acquired in April, 1948).
Restituted to the heirs of Adele and Ferdinand Bloch-Bauer by the Republic of Austria, March 2006.
",-,-,oil on canvas ,1916,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0052_000().jpg
Amedeo Modigliani,Portrait du sculpteur Oscar MiestchaninoffREPEAT SALE,11.06.2007,"30,841,000",81.2 x 65 cm,Impressionist and Modern Art Evening Sale,"USD 18,000,000 - USD 25,000,000","César de Hauke, Paris.
Jacques Sarlie, New York; sale, Sotheby & Co., London, 12 October 1960, lot 44.
Private collection, Europe (acquired at the above sale); Estate sale, Christie's, New York, 7 November 1995, lot 2.
Private collection, United States (acquired at the above sale).
","
signed 'Modigliani.' (upper left) and dated '1916.' (lower right) 
","
Private collection, Europe (acquired at the above sale); Estate sale, Christie's, New York, 7 November 1995, lot 2.
",oil on canvas ,1916,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0047_000().jpg
Pablo Picasso,Femme accroupie au costume turc,11.06.2007,"30,841,000",115.8 x 89.2 cm,Impressionist and Modern Art Evening Sale,,"Galerie Louise Leiris, Paris.
Perls Galleries, New York.
Anon. sale, Sotheby's, New York, 9 May 1995, lot 110.
Private collection, United States (acquired at the above sale).
","
signed 'Picasso' (upper left); dated '26.11.55.' (on the reverse)
","
Private collection, United States (acquired at the above sale).
",oil on canvas ,1955,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0073_000().jpg
Ed Ruscha,Smash,11.12.2014,"30,405,000",182.2 x 170.1 cm,Post-War & Contemporary Art Evening Sale,"USD 15,000,000 - USD 20,000,000","Ferus Gallery, Los Angeles
Charles Cowles, New York 
Mr. and Mrs. Gardner Cowles, New York
Mr. and Mrs. Donald B. Marron, New York
Leo Castelli Gallery, New York
Private collection, Chicago
Acquired from the above by the present owner","
signed and dated '3 / 1963 E. RUSCHA' (on the stretcher)
","
Private collection, Chicago
",oil on canvas,1963,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0030_000(ed_ruscha_smash).jpg
Willem de Kooning,Clamdigger,11.12.2014,"29,285,000",75.2 x 60.3 cm,Post-War & Contemporary Art Evening Sale,"USD 25,000,000 - USD 35,000,000","Collection of the Artist
By descent from the above to the present owner","
incised with signature 'de Kooning' and stamped with number 'AP' (on the right foot); incised with date and initials '1972 D.C' (lower center)
","Collection of the Artist
",bronze,1972,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0021_000(willem_de_kooning_clamdigger).jpg
Pablo Picasso,"Femme assise, robe bleue",06.21.2011,"29,043,342",73 x 60 cm,Impressionist/Modern Evening Sale,"GBP 4,000,000 - GBP 8,000,000","Paul Rosenberg & Co., Paris & Bordeaux, by whom acquired directly from the artist.
Confiscated in Bordeaux, 1940, and transferred to the German Embassy, Paris; transferred to the Jeu de Paume, 6th September 1941 (Einsatzstab Reichsleiter Rosenberg inventory number PR 19); returned to the Möbel-Aktion and intended for transfer by train from Paris to the Nazi depot, Nikolsburg, Moravia, 1st August 1944.
Seized by the French Resistance; restituted by the Commission de Récuperation to Paul Rosenberg.
G. David Thompson, Pittsburgh, by whom acquired from the above; estate sale, Sotheby's Parke Bernet, New York, 23 & 24 March 1966, lot 68.
Galerie Beyeler, Basel, by whom acquired at the above sale.
Acquired from the above by the family of the present owner circa 1968, and thence by descent. 
","
signed and dated 'Picasso 25.10.39' (lower left) 
",-,oil on canvas ,1939,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07974_0049_000(pablo_picasso_femme_assise_robe_bleue).jpg
Rembrandt Harmensz van Rijn,"Portrait of a lady, aged 62, perhaps Aeltje Pietersdr. Uylenburgh, wife of Johannes Cornelisz. Sylvius, half-length, in black costume and a cap and collar",12.13.2000,"28,676,152",73.7 x 55.8 cm,IMPORTANT OLD MASTER PICTURES,"GBP 4,000,000 - GBP 6,000,000","William G. Coesvelt, Carlton Gardens, London, by whom offered for sale, through John Smith; George Stanley, London, 2 May 1828, lot 37, 'The Portrait of an interesting old Lady, said to be the painter's mother, at the age of 62' (unsold).
John Smith (1781-1855), by 1835, when sold by him (according to a note in his own copy of his catalogue) to
Albert Brondgeest (d. 1847), Amsterdam.
Baron Alphonse de Rothschild (1827-1905), Paris.
Baron Edouard de Rothschild (1868-1949), Paris.
Baroness Batsheva de Rothschild (1914-99), Tel Aviv
Rothschild inventory no. ER 43 ( the inventory no. R49 on the reverse relates to the Nazi requisitions of 1940-1). 
","
signed and dated 'RHL van Ryn  1632' (RHL in monogram, upper right), and inscribed 'æ/62' (æ linked, upper left)
",-,"signed and dated 'RHL van Ryn  1632' (RHL in monogram, upper right), and inscribed 'æ/62' (æ linked, upper left)",-,https://www.christies.com/img/LotImages/2000/CKS/2000_CKS_06405_0052_000().jpg
Juan Gris,Violon et guitare,11.03.2010,"28,642,500",100.3 x 65.4 cm,Impressionist and Modern Evening Sale ,"USD 18,000,000 - USD 25,000,000","Galerie Kahnweiler, Paris.
Daniel-Henry Kahnweiler, Paris; Fourth Sale of Sequestered Art, Hôtel Drouot, Paris, 7-8 May 1923, lot 294.
Count and Countess de Chambrun, Paris.
Galerie Balaÿ et Carré, Paris.
Jacques Seligmann & Co., New York (by 1938).
Mr. and Mrs. Ralph F. Colin, New York (by 1958).
Ralph F. Colin, Jr., New York (by descent from above, by 1984).
Acquavella Galleries, Inc., New York.
Acquired from the above by the present owner.
","
signed, inscribed and dated 'Juan Gris, Céret. 9-13' (on the reverse) 
",-,oil on canvas ,1913,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02352_0023_000(juan_gris_violon_et_guitare).jpg
Pablo Picasso,Claude et Paloma,11.04.2013,"28,165,000",116 x 89 cm,A Dialogue Through Art: Works from the Jan Krugier Collection Evening Sale,"USD 9,000,000 - USD 12,000,000","Estate of the artist.
Marina Picasso (by descent from the above).
Jan Krugier, acquired from the above.
","
dated and inscribed 'vendredi 20.1.50. Vallauris' (on the reverse) 
",-,oil and ripolin on panel ,-,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_03442_0017_000(pablo_picasso_claude_et_paloma).jpg
Roy Lichtenstein,Nude with Red Shirt,11.14.2012,"28,082,500",198.1 x 167.7 cm,Post-War & Contemporary Art Evening Sale,"USD 12,000,000 - USD 18,000,000","Leo Castelli Gallery, New York
Thomas Gibson Fine Art, London
Acquired from the above by the present owner, 1995 
","
signed and dated 'rf Lichtenstein '95' (on the reverse) 
",-,oil and Magna on canvas ,1995,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0039_000(roy_lichtenstein_nude_with_red_shirt).jpg
Francis Bacon,Three Studies for Self-PortraitREPEAT SALE,05.13.2008,"28,041,000",35.5 x 30.5 cm,Post War And Contemporary Art Evening Sale,"USD 25,000,000 - USD 35,000,000","Galerie Claude Bernard, Paris
Roberto Shorto, London
Thyssen-Bornesmisza collection, Lugano
Marlborough Fine Art, Ltd., London
Galerie Jan Kugier, Geneva
Anon. sale; Christie's, London, 30 June 1999, lot 514
Private collection, Los Angeles
Anon. sale; Sotheby's, New York, 9 November 2005, lot 16
Acquired at the above sale by the present owner 
","
signed, titled and dated 'Studies for self-portrait 1976 Francis Bacon' (on the reverse of each canvas)
","
Thyssen-Bornesmisza collection, Lugano
","signed, titled and dated 'Studies for self-portrait 1976 Francis Bacon' (on the reverse of each canvas)",1976,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01997_0010_000().jpg
